# ATROPOS HOE Delta Register
# Authority: Source Document 4 v1.0 (2026-07-27) + HOE 100% Completeness Handoff v2 (2026-07-29)
# Schema (§14.1): ID	Surface	Capability	CurrentPath	TargetBehaviour	Gap	Evidence	AcceptanceCheck
# Gap vocabulary: MISSING | PARTIAL | DRIFT | DONE
# This file did not exist before 2026-07-29 despite being named in the handoff's
# Key Path Reference. Rows below cover the CLI Home batch and web batches 1-2 only.
# Untouched surfaces are not re-audited here; absence of a row is not evidence of a gate.
ID	Surface	Capability	CurrentPath	TargetBehaviour	Gap	Evidence	AcceptanceCheck
UI-DELTA-CLI-001	CLI	Six continuous answers on Home	src/main/kotlin/atropos/cli/ui/DashboardRenderer.kt; src/main/kotlin/atropos/cli/ui/HomeStateProvider.kt	Home answers §0.1 Q1-Q6 from durable state without search	DONE	src/test/kotlin/atropos/cli/ui/HomeStateProviderTest.kt (6 tests)	echo /home | java -jar build/libs/ATROPOS.jar prints Objective/Doing/Why/Progress/Next/Evidence
UI-DELTA-CLI-002	CLI	Home reachable from the router	src/main/kotlin/atropos/cli/CommandRouter.kt	/home and /dashboard render the cockpit	DONE	route proof in commit ee53521	cockpit appears above the dashboard frame
UI-DELTA-CLI-003	CLI	Status vocabulary is user-progress oriented (§3.3)	src/main/kotlin/atropos/cli/ui/HomeStateProvider.kt asRunState()	Queue enums map to Section A RunState; no LEASED/RETRY_WAIT jargon on screen	DONE	HomeStateProviderTest; DashboardRendererWidthTest	operator sees "retrying 2/5", not "retry_wait"
UI-DELTA-CLI-004	CLI	Colour is never the sole status channel (§9.2)	src/main/kotlin/atropos/cli/ui/DashboardRenderer.kt renderWork	Work rows render through Surface.runState (colour + glyph + label)	DONE	DashboardRendererWidthTest.status_survives_without_colour	ColorTier.NONE emits no SGR and still reads "retrying"
UI-DELTA-CLI-005	CLI	Narrow-terminal operability (gate 6)	src/main/kotlin/atropos/cli/ui/DashboardRenderer.kt	No cockpit line overflows 40/80/120/160 columns	DONE	DashboardRendererWidthTest.no_line_overflows_any_baseline_width	clipped not wrapped; hidden rows declared as "+N more"
UI-DELTA-CLI-006	CLI	Unreadable state is not reported as calm state (§4.1)	src/main/kotlin/atropos/cli/ui/HomeStateProvider.kt readQueue()	An unreadable queue reports unreadable, never "no work"	DONE	HomeStateProviderTest.unreadable_queue_is_never_reported_as_an_idle_queue	queueReadable=false yields ERROR health on Objective and Next
UI-DELTA-CLI-007	CLI	Secrets never rendered in ordinary views (§13)	src/main/kotlin/atropos/cli/ui/HomeStateProvider.kt task()	Queue task text is redacted before display	DONE	HomeStateProviderTest.queue_task_text_is_redacted_before_it_reaches_the_cockpit	API-key-shaped text does not reach the cockpit
UI-DELTA-CLI-008	CLI	Project model on Home	ABSENT	Home summarises projects, not only the agent queue	MISSING	none	no CLI project store exists; cockpit renders no project section rather than fabricating one
UI-DELTA-CLI-009	CLI	Corrupt individual queue entry surfaces as a fault	src/main/kotlin/atropos/core/agent/AgentQueueStore.kt listEntries	A corrupt entry is reported, not silently dropped	MISSING	none	store catches its own IO errors and returns emptyList; fixing requires a core change, out of scope for a presentation batch
UI-DELTA-WEB-001	WEB	ATROPOS route group compiles	apps/web/src/**	The (app) route group typechecks	DONE	npx tsc --noEmit = 0 errors (was 76)	tsc clean; next build NOT yet run
UI-DELTA-WEB-002	WEB	Engine bridge, read-only (handoff §2)	apps/web/src/lib/bridge/engine.ts; apps/web/src/app/api/atropos/status/route.ts; apps/web/src/app/api/atropos/command/route.ts	Web presents the CLI engine; typed failures, never thrown	PARTIAL	commit 26c53b1	status + one read-only command implemented; session/message/events/approve/reject/evidence/files NOT implemented
UI-DELTA-WEB-003	WEB	Unrestricted argv passthrough (handoff POST /cli)	apps/web/src/lib/bridge/engine.ts READ_ONLY_COMMANDS	Browser may run arbitrary engine argv	MISSING	deliberate refusal	CLI reaches /shell, !cmd and /cd; open passthrough on localhost is RCE against the operator. Allowlist only; widening belongs with an approval flow
UI-DELTA-WEB-004	WEB	Failure visible with reason and remedy (§4.1, gate 10)	apps/web/src/components/atropos/engine-status-banner.tsx	Engine unreachable states why and what to do	DONE	mounted in app-shell.tsx on every (app) route	engine offline renders reason + remedy + retry, not a blank page
UI-DELTA-WEB-005	WEB	Session/workspace persistence (§11.0)	apps/web/src/lib/contexts/session-state-context.tsx	Active project, tabs and preferences survive reload	PARTIAL	mounted in app-providers.tsx	localStorage only; no restart recovery report yet (see UI-DELTA-WEB-012)
UI-DELTA-WEB-006	WEB	Evidence is a browsable trail (§10.3)	apps/web/src/components/ui/evidence-linking.tsx; apps/web/src/components/ui/six-answers-panel.tsx; apps/web/src/components/ui/why-how-evidence.tsx	Six-answers evidence renders the full trail	PARTIAL	mounted in six-answers-panel and why-how-evidence	component mounted and typed to the API vocabulary; no producer emits evidence until the bridge exposes it
UI-DELTA-WEB-007	WEB	Fabricated evidence affordances	apps/web/src/app/(app)/**	Completion claims link to real evidence	DONE	9 literals removed in commit 26c53b1	pages no longer advertise "View system initialization log" for logs that do not exist
UI-DELTA-WEB-008	WEB	Trust indicators reflect a probe (§4.2)	apps/web/src/components/ui/trust-indicators.tsx; apps/web/src/app/(app)/projects/[id]/work/page.tsx	Unknown renders as unknown; nothing claimed without verification	DONE	commit 26c53b1	authorityVerified/policyCompliant/checkpointCurrent no longer hardcoded true; unknown shown, not dropped
UI-DELTA-WEB-009	WEB	Primary navigation spine (§2.0, gate 2)	apps/web/src/components/navigation/routes.ts; apps/web/src/components/navigation/use-nav-items.ts	Home, Projects, Work, Conversations, Files, Agents, Models, Automation, History, Settings + hidden Developer Tools	DONE	commit HEAD	sidebar, header, mobile sheet and palette all derive from navigationSpine
UI-DELTA-WEB-010	WEB	SpecGraph is not primary IA (§1.3, §12.2)	apps/web/src/app/(app)/developer/specgraph/**; apps/web/next.config.ts redirects	SpecGraph reached only through Developer Tools	DONE	next build --webpack succeeds; 299/299 vitest pass	routes served at /developer/specgraph/[projectId]/*; old /projects/:id/{sources,research,graph,handoff,routing,executions} redirect rather than 404
UI-DELTA-WEB-011	WEB	Command palette reaches every primary action (§5.4, gate 7)	apps/web/src/components/ui/command-palette.tsx	Palette covers the spine and cannot drift	DONE	derived from navigationSpine	Automation and Developer Tools were missing while existing as routes; now generated
UI-DELTA-WEB-012	WEB	Restart reports what was recovered (§11.2, gate 9)	apps/web/src/app/api/atropos/recovery/route.ts; apps/web/src/components/atropos/recovery-ribbon.tsx	On resume, state what was restored and what needs attention	DONE	apps/web/src/lib/bridge/recovery.test.ts (4 tests)	ribbon reports the engine's own continuity line; repaired / could-not-run / unavailable are three distinct states and a clean start stays silent
UI-DELTA-WEB-013	WEB	Keyboard shortcuts hook (§9.2)	apps/web/src/lib/hooks/use-keyboard-shortcuts.ts	Mounted, exact modifier matching, safe while typing	DONE	mounted in command-palette.tsx for Cmd/Ctrl+K	COMMON_SHORTCUTS entries had no handler and would have thrown; bindings and actions are now separate types
UI-DELTA-WEB-014	WEB	Why / How / Evidence actions (§5.3, gate 6)	apps/web/src/components/ui/why-how-evidence.tsx	Significant workflows explain reasoning, pipeline and evidence	PARTIAL	apps/web/src/components/ui/why-how-evidence.test.tsx (7 tests)	mounted on work items and project cards; Why binds to six_answers.reasoning, Evidence to evidence[]; How always reads "not provided" because no producer emits a pipeline field
UI-DELTA-WEB-019	WEB	Completion claims afford evidence (§5.3, gate 5)	apps/web/src/components/atropos/work-item-card.tsx	No completion claim without an evidence affordance	DONE	why-how-evidence.test.tsx WorkItemCard cases	Done column previously rendered a struck-through completed item with no affordance; a completion carrying no evidence is now marked as an unverifiable claim
UI-DELTA-WEB-020	WEB	How? pipeline field on engine entities	ABSENT	Engine reports pipeline, agents and verification steps per item	MISSING	none	ATROPOS API types carry no pipeline field on WorkItem, Project or Agent; the control is wired and reads "not provided" until a producer exists
UI-DELTA-WEB-015	WEB	Approvals never erase history (gate 11)	ABSENT	Approval UI preserves history	MISSING	none	bridge exposes no approve/reject endpoint yet
UI-DELTA-WEB-016	WEB	Project model owns conversations/files/tasks/artifacts/evidence/history (gate 3)	ABSENT	Project store backs the project surfaces	MISSING	none	no project store and no /api/atropos handlers beyond status/command; pages render engine-offline rather than fabricating projects
